"","Site","year","crop","grass","shrub","aquatic","high"
"65","both_11",2,-0.341980654844523,-0.274136946843216,-1.04287906605845,2.12869083599989,-0.443580809724121
"66","both_12",2,-0.364384174969743,-0.761021183303639,0.473566289281129,0.744010521399925,-0.182499546889809
"67","both_15",2,-0.287464705930913,-0.733119376083598,-1.10958087121813,2.00086086839927,0.453529158670533
"68","both_16",2,-0.364384174969743,-0.588546951525327,0.0761438826887181,0.0815418407872996,0.435653559492672
"69","both_17",2,-0.363587692611638,-0.750229198929281,-1.03094830806041,2.04643275980502,0.116222255239329
"70","both_18",2,-0.364384174969743,-0.439324154790591,-0.81512045647075,1.55276443021229,0.0450975965609528
"71","both_19island",2,-0.364384174969743,-0.143204729204271,-1.23560693591925,-1.24070021902904,-1.32677593286491
"72","both_2",2,0.639829405154509,-0.088625448514049,0.674907385573639,0.177408962708505,-0.402558994414371
"73","both_20",2,-0.0289897374833376,2.67375727629663,-0.850081082839448,0.43166359614323,-0.554677513275043
"74","both_22",2,-0.333252529676586,-0.80191915180536,-1.0993945886729,2.13476515560359,0.393537504203158
"75","both_24",2,-0.364384174969743,0.200641427064882,-0.585272711625441,-0.0926911598046501,1.1632436793279
"76","both_25",2,-0.35997686439046,-0.587374499131036,-0.180655082163447,0.362496946625959,-0.340418051031469
"77","both_26",2,-0.364384174969743,0.613742687149718,0.312327138756683,0.926378263131899,0.242922272805603
"78","both_32",2,-0.314171088087331,2.25325834527643,-0.388623023173009,0.832226178694571,0.0353573928845654
"79","both_34",2,2.10998335183532,2.63877490607103,0.608866065525576,-1.03415268822109,0.998717796552041
"80","both_36",2,5.74350476521394,0.337094454963045,-0.447469120351484,-1.47038999526268,2.42616538331821
"81","both_38",2,-0.353484474455269,-0.814616705485581,-0.727901960426349,1.20430156294797,-0.160949895798109
"82","both_4",2,0.628683705518587,-0.419689344676345,1.58213044029261,-0.268036310103477,-0.328884676321032
"83","both_40",2,-0.363271882663443,-0.81427013187937,-0.00553680209850671,-0.0500351193974485,-0.543993687597995
"84","both_41",2,2.88948320770944,0.706612726705893,-1.02757642288172,0.385172421664045,1.91483824131233
"85","both_42",2,0.214544354752439,-0.68058807227783,-0.552413804963261,1.2257106733204,-0.553900706290131
"86","both_43",2,-0.364384174969743,-0.571776214620996,0.973598042975879,0.662684002796801,-0.230664761515052
"87","both_46",2,2.46375115850201,0.671221929794228,1.32988746620508,-1.140343169716,1.66412517886518
"88","both_49",2,-0.364384174969743,-0.0387877404680196,0.975461195151884,0.669656973836777,-0.0844306839121245
"89","both_4island",2,-0.364384174969743,-0.950685959878584,-1.2372383147663,-1.53146266499744,-1.32677593286491
"90","both_50",2,0.612166289714702,-0.471242473193129,1.0781628126477,-0.692493854145004,-0.854253022159028
"91","both_51",2,-0.36019296628311,-0.317568573163806,0.688980861965178,-0.145408387826643,-0.425056389074083
"92","both_52",2,-0.364384174969743,-0.861009969407498,-0.569601220352521,-0.206924878517175,-0.0152528511912814
"93","both_53",2,-0.301087803591641,-0.928215132748894,-0.0774619473792916,0.384571753746741,-0.403953964194964
"94","both_54",2,-0.363436644032901,-0.936251387348359,-0.0384532376699847,0.500608259691068,1.44228362346106
"95","both_55",2,0.545035228345386,1.70544687339105,1.96107355259598,-1.06410166412778,2.56728206504139
"96","both_56",2,-0.00977722212973512,-0.551751312545057,2.42941229395262,-1.05355543716976,0.108106238335264
"97","both_57",2,0.510872164865735,1.47142216750511,0.534088943244751,-0.31382783703899,-0.58235398270849
"98","both_58",2,-0.364384174969743,-0.0387877404680196,0.975461195151884,0.669656973836777,-0.0844306839121245
"99","both_59",2,-0.343908692971485,0.971358008509301,0.314917807496653,0.0911025153310054,0.0331097648180112
"100","both_60",2,-0.364236899747027,0.0944483121768967,-0.532347609332121,-0.238156345717289,1.72261846282699
"101","both_61",2,-0.337311186853799,-0.593138108456473,0.14855055241158,0.00136207558628945,-0.722798306640617
